participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
2,54,2,4,1,2,3,13.937000000000012
2,55,1,1,1,1,1,4.344000000000051
2,56,1,1,1,1,1,3.788000000000011
2,56,2,1,0,1,2,7.388000000000034
2,57,1,1,1,1,1,3.826000000000022
2,57,2,2,1,1,2,8.609000000000037
2,58,1,1,1,1,1,4.059999999999945
2,58,1,4,0,2,3,9.894000000000005
2,58,2,1,1,1,2,6.836999999999989
2,59,1,1,1,1,1,3.3150000000000546
2,59,1,4,0,2,3,10.552000000000021
2,59,2,1,1,1,2,7.460000000000036
2,60,1,1,0,1,1,2.689000000000078
2,60,2,1,0,1,2,6.442000000000007
2,60,2,4,0,2,3,9.721000000000004
2,61,1,1,0,1,1,4.140999999999963
2,61,2,1,1,1,2,5.69500000000005
2,62,1,1,0,1,1,4.66700000000003
2,62,2,1,1,1,2,7.805999999999926
2,63,1,1,0,1,1,5.899999999999977
2,63,1,4,0,2,3,13.634000000000015
2,63,2,1,0,1,2,9.153999999999996
2,64,1,1,1,1,1,1.842999999999961
2,65,1,1,1,1,1,2.5439999999999827
2,65,2,1,0,1,2,6.904999999999973
2,66,1,1,0,1,1,3.119000000000028
2,66,2,1,0,1,2,6.269999999999982
2,66,2,4,0,2,3,8.692999999999984
2,67,1,1,0,1,1,3.9610000000000127
2,67,1,2,0,2,3,9.970000000000141
2,67,2,1,0,1,2,6.983000000000061
2,68,1,1,0,1,1,2.2770000000000437
2,68,2,1,1,1,2,6.189000000000078
2,69,1,1,0,1,1,3.2269999999998618
2,69,2,1,1,1,2,6.194999999999936
2,70,1,1,0,1,1,3.397000000000162
2,70,2,4,0,1,2,8.206000000000131
2,71,1,1,0,1,1,3.783000000000129
2,71,2,1,1,1,2,6.622000000000071
2,72,1,1,1,1,1,4.428000000000111
2,73,1,1,1,1,1,3.2919999999999163
2,73,2,1,1,1,2,5.403999999999996
2,73,2,4,1,2,3,9.739000000000033
2,74,1,1,1,1,1,3.314000000000078
2,74,2,1,0,1,2,5.731000000000222
2,75,1,1,1,1,1,2.5850000000000364
2,75,1,4,1,2,3,7.917000000000144
2,75,2,1,1,1,2,5.339000000000169
2,76,1,1,1,1,1,4.428000000000111
2,76,1,4,1,2,3,11.411000000000058
2,76,2,1,1,1,2,8.429000000000087
2,77,1,1,1,1,1,3.035000000000082
2,78,1,1,0,1,1,2.2840000000001055
2,78,2,1,1,1,2,5.981999999999971
2,79,2,1,1,1,1,3.9149999999999636
